patch_id,label,confidence,notes,labeled_at
patch_daan_030,0,medium,水+农田混合，少量可能盐碱过渡区,6/4/2026 0:00
patch_daan_003,1,medium,可能浅水滩,6/4/2026 0:01
patch_daan_013,0,high,,6/4/2026 0:02
patch_pingluo_005,1,high,,6/4/2026 0:02
patch_pingluo_024,1,medium,,6/4/2026 0:02
patch_daan_016,1,low,,6/4/2026 0:03
patch_pingluo_018,1,medium,,6/4/2026 0:04
patch_pingluo_008,0,high,,6/4/2026 0:04
patch_pingluo_003,1,medium,,6/4/2026 0:04
patch_daan_015,1,medium,,6/4/2026 0:05
patch_pingluo_004,1,medium,,6/4/2026 0:05
patch_pingluo_010,1,medium,,6/4/2026 0:05
patch_pingluo_029,1,medium,,6/4/2026 0:05
patch_pingluo_016,0,medium,,6/4/2026 0:05
patch_pingluo_013,0,medium,,6/4/2026 0:06
patch_pingluo_001,1,low,,6/4/2026 0:06
patch_pingluo_028,1,low,,6/4/2026 0:06
patch_pingluo_009,1,low,,6/4/2026 0:06
patch_pingluo_017,0,medium,,6/4/2026 0:06
patch_pingluo_022,0,high,,6/4/2026 0:06
patch_daan_022,0,high,,6/4/2026 0:07
patch_pingluo_006,0,medium,,6/4/2026 0:07
patch_pingluo_020,0,high,,6/4/2026 0:07
patch_pingluo_027,0,medium,,6/4/2026 0:07
patch_pingluo_021,0,medium,,6/4/2026 0:07
patch_pingluo_012,0,high,,6/4/2026 0:07
patch_pingluo_019,0,high,,6/4/2026 0:08
patch_pingluo_023,0,high,,6/4/2026 0:08
patch_pingluo_002,0,high,,6/4/2026 0:08
patch_pingluo_014,0,high,,6/4/2026 0:08
patch_pingluo_007,0,high,,6/4/2026 0:08
patch_daan_005,0,high,,6/4/2026 0:08
patch_daan_025,0,medium,,6/4/2026 0:08
patch_daan_027,0,medium,,6/4/2026 0:08
patch_pingluo_025,0,low,,6/4/2026 0:09
patch_daan_023,0,low,,6/4/2026 0:09
patch_pingluo_015,1,low,,6/4/2026 0:10
patch_daan_010,0,medium,,6/4/2026 0:10
patch_pingluo_026,0,low,,6/4/2026 0:10
patch_daan_009,1,medium,,6/4/2026 0:10
patch_pingluo_030,0,low,,6/4/2026 0:10
patch_daan_007,0,high,,6/4/2026 0:10
patch_pingluo_011,0,low,,6/4/2026 0:10
patch_daan_018,1,high,,6/4/2026 0:10
patch_daan_002,1,low,,6/4/2026 0:10
patch_daan_012,0,medium,,6/4/2026 0:10
patch_daan_026,0,medium,,6/4/2026 0:11
patch_daan_008,0,medium,,6/4/2026 0:11
patch_daan_024,1,low,,6/4/2026 0:11
patch_daan_017,1,medium,,6/4/2026 0:11
patch_daan_014,0,medium,,6/4/2026 0:11
patch_daan_029,0,medium,,6/4/2026 0:11
patch_daan_028,0,low,,6/4/2026 0:11
patch_daan_004,0,medium,,6/4/2026 0:11
patch_daan_001,0,medium,,6/4/2026 0:11
patch_daan_021,0,low,,6/4/2026 0:12
patch_daan_020,1,low,,6/4/2026 0:12
patch_daan_019,1,low,,6/4/2026 0:12
patch_daan_006,0,high,,6/4/2026 0:12
patch_daan_011,0,high,,6/4/2026 0:12
